,pred,actual,naive
2025-04-30 23:00:00,2.346484661102295,2.15,1.49
2025-05-01 03:00:00,2.5811281204223633,1.68,1.87
2025-05-01 07:00:00,5.1421685218811035,6.38,4.35
2025-05-01 11:00:00,3.761589527130127,4.5,4.5
2025-05-01 15:00:00,5.199413299560547,6.17,3.22
2025-05-01 19:00:00,4.913656234741211,6.13,5.98
2025-05-01 23:00:00,2.3104660511016846,3.69,2.15
2025-05-02 03:00:00,2.4915761947631836,2.41,1.68
2025-05-02 07:00:00,5.067442417144775,6.38,6.38
2025-05-02 11:00:00,4.1588897705078125,4.36,4.5
2025-05-02 15:00:00,4.663600921630859,5.5,6.17
2025-05-02 19:00:00,4.8623456954956055,5.98,6.13
2025-05-02 23:00:00,3.184368371963501,4.72,3.69
2025-05-03 03:00:00,2.657609224319458,3.54,2.41
2025-05-03 07:00:00,4.873205661773682,7.62,6.38
2025-05-03 11:00:00,3.979999303817749,4.02,4.36
2025-05-03 15:00:00,4.497512340545654,4.24,5.5
2025-05-03 19:00:00,4.778787136077881,7.56,5.98
2025-05-03 23:00:00,3.7113888263702393,4.69,4.72
2025-05-04 03:00:00,3.3487889766693115,4.27,3.54
2025-05-04 07:00:00,4.598178863525391,3.17,7.62
2025-05-04 11:00:00,3.7171788215637207,2.03,4.02
2025-05-04 15:00:00,4.666656970977783,6.25,4.24
2025-05-04 19:00:00,5.570652008056641,6.12,7.56
2025-05-04 23:00:00,3.805507183074951,2.66,4.69
2025-05-05 03:00:00,3.506577968597412,3.14,4.27
2025-05-05 07:00:00,3.8877837657928467,4.69,3.17
2025-05-05 11:00:00,3.18634033203125,3.69,2.03
2025-05-05 15:00:00,4.477389812469482,4.69,6.25
2025-05-05 19:00:00,4.714781284332275,5.58,6.12
2025-05-05 23:00:00,3.0717880725860596,1.83,2.66
2025-05-06 03:00:00,3.2628910541534424,2.91,3.14
2025-05-06 07:00:00,4.5771260261535645,6.43,4.69
2025-05-06 11:00:00,3.61124324798584,5.69,3.69
2025-05-06 15:00:00,5.012981414794922,4.0,4.69
2025-05-06 19:00:00,4.867681503295898,5.98,5.58
2025-05-06 23:00:00,2.653452157974243,1.28,1.83
2025-05-07 03:00:00,2.8651700019836426,2.3,2.91
2025-05-07 07:00:00,4.554260730743408,3.25,6.43
2025-05-07 11:00:00,3.897066593170166,2.67,5.69
2025-05-07 15:00:00,4.076295375823975,2.22,4.0
2025-05-07 19:00:00,4.692541122436523,4.89,5.98
2025-05-07 23:00:00,1.722941517829895,1.08,1.28
2025-05-08 03:00:00,2.584338665008545,1.11,2.3
2025-05-08 07:00:00,4.742016315460205,3.42,3.25
2025-05-08 11:00:00,3.4108192920684814,2.87,2.67
2025-05-08 15:00:00,3.458660840988159,3.18,2.22
2025-05-08 19:00:00,5.720097064971924,4.68,4.89
2025-05-08 23:00:00,1.2901440858840942,1.7,1.08
2025-05-09 03:00:00,2.3310017585754395,2.7,1.11
2025-05-09 07:00:00,3.7868080139160156,3.68,3.42
2025-05-09 11:00:00,2.679144859313965,2.93,2.87
2025-05-09 15:00:00,3.9544661045074463,4.48,3.18
2025-05-09 19:00:00,4.747402191162109,5.36,4.68
2025-05-09 23:00:00,2.0921952724456787,2.63,1.7
2025-05-10 03:00:00,2.618795871734619,2.16,2.7
2025-05-10 07:00:00,4.12869119644165,4.96,3.68
2025-05-10 11:00:00,3.9054651260375977,4.36,2.93
2025-05-10 15:00:00,4.465706825256348,3.58,4.48
2025-05-10 19:00:00,6.382036209106445,8.0,5.36
2025-05-10 23:00:00,3.0487706661224365,4.69,2.63
2025-05-11 03:00:00,3.3646695613861084,4.27,2.16
2025-05-11 07:00:00,4.408729076385498,4.73,4.96
2025-05-11 11:00:00,3.2782552242279053,2.4,4.36
2025-05-11 15:00:00,4.034755229949951,2.99,3.58
2025-05-11 19:00:00,5.216722011566162,7.38,8.0
2025-05-11 23:00:00,3.340881824493408,2.74,4.69
2025-05-12 03:00:00,2.650594711303711,0.99,4.27
2025-05-12 07:00:00,5.566776275634766,6.84,4.73
2025-05-12 11:00:00,3.4838931560516357,2.71,2.4
2025-05-12 15:00:00,4.474601745605469,3.67,2.99
2025-05-12 19:00:00,5.895773410797119,6.05,7.38
2025-05-12 23:00:00,2.4460859298706055,1.83,2.74
2025-05-13 03:00:00,2.2951574325561523,1.43,0.99
2025-05-13 07:00:00,4.942829132080078,4.88,6.84
2025-05-13 11:00:00,2.954084873199463,2.86,2.71
2025-05-13 15:00:00,4.583085536956787,5.18,3.67
2025-05-13 19:00:00,6.032068252563477,4.76,6.05
2025-05-13 23:00:00,2.602827548980713,2.39,1.83
2025-05-14 03:00:00,1.8038355112075806,2.7,1.43
2025-05-14 07:00:00,5.2098917961120605,3.85,4.88
2025-05-14 11:00:00,3.3190524578094482,4.41,2.86
2025-05-14 15:00:00,4.97199821472168,6.29,5.18
2025-05-14 19:00:00,5.931539535522461,6.6,4.76
2025-05-14 23:00:00,2.1285219192504883,1.87,2.39
2025-05-15 03:00:00,2.7434990406036377,2.5,2.7
2025-05-15 07:00:00,5.107402801513672,5.68,3.85
2025-05-15 11:00:00,3.4496712684631348,3.88,4.41
2025-05-15 15:00:00,4.510477542877197,4.16,6.29
2025-05-15 19:00:00,5.412086486816406,4.89,6.6
2025-05-15 23:00:00,2.5949032306671143,2.51,1.87
2025-05-16 03:00:00,3.1179096698760986,1.25,2.5
2025-05-16 07:00:00,5.538384914398193,5.69,5.68
2025-05-16 11:00:00,4.036215305328369,4.46,3.88
2025-05-16 15:00:00,4.611546993255615,4.07,4.16
2025-05-16 19:00:00,5.233940601348877,5.98,4.89
2025-05-16 23:00:00,2.147082567214966,1.49,2.51
2025-05-17 03:00:00,1.87041175365448,2.25,1.25
2025-05-17 07:00:00,4.894314289093018,2.95,5.69
2025-05-17 11:00:00,3.774928331375122,4.05,4.46
2025-05-17 15:00:00,3.909106969833374,2.99,4.07
2025-05-17 19:00:00,4.72142219543457,5.02,5.98
2025-05-17 23:00:00,2.2180190086364746,2.87,1.49
2025-05-18 03:00:00,2.3553707599639893,2.11,2.25
2025-05-18 07:00:00,3.476963996887207,2.51,2.95
2025-05-18 11:00:00,3.557119846343994,2.4,4.05
2025-05-18 15:00:00,3.291346549987793,2.55,2.99
2025-05-18 19:00:00,6.213650226593018,4.53,5.02
2025-05-18 23:00:00,2.087232828140259,1.98,2.87
2025-05-19 03:00:00,2.3049800395965576,2.3,2.11
2025-05-19 07:00:00,3.6181440353393555,4.69,2.51
2025-05-19 11:00:00,3.587170362472534,3.69,2.4
2025-05-19 15:00:00,3.2587437629699707,2.16,2.55
2025-05-19 19:00:00,5.076583385467529,4.34,4.53
2025-05-19 23:00:00,2.2569215297698975,2.05,1.98
2025-05-20 03:00:00,1.91511070728302,2.54,2.3
2025-05-20 07:00:00,4.111370086669922,2.95,4.69
2025-05-20 11:00:00,3.376089096069336,3.69,3.69
2025-05-20 15:00:00,3.5546648502349854,3.5,2.16
2025-05-20 19:00:00,4.317682266235352,4.23,4.34
2025-05-20 23:00:00,2.219104051589966,2.25,2.05
2025-05-21 03:00:00,2.8069095611572266,1.25,2.54
2025-05-21 07:00:00,4.919858932495117,6.38,2.95
2025-05-21 11:00:00,4.125631332397461,2.85,3.69
2025-05-21 15:00:00,3.540940523147583,4.2,3.5
2025-05-21 19:00:00,4.111306667327881,4.51,4.23
2025-05-21 23:00:00,2.210024356842041,1.62,2.25
2025-05-22 03:00:00,2.0448074340820312,1.68,1.25
2025-05-22 07:00:00,4.897584915161133,3.38,6.38
2025-05-22 11:00:00,3.519258499145508,2.37,2.85
2025-05-22 15:00:00,4.262664318084717,3.24,4.2
2025-05-22 19:00:00,4.371245861053467,2.52,4.51
2025-05-22 23:00:00,1.9120917320251465,0.97,1.62
2025-05-23 03:00:00,1.8191249370574951,0.9,1.68
2025-05-23 07:00:00,3.8371102809906006,2.68,3.38
2025-05-23 11:00:00,2.4356026649475098,1.52,2.37
2025-05-23 15:00:00,3.4598469734191895,2.57,3.24
2025-05-23 19:00:00,3.2535672187805176,2.52,2.52
2025-05-23 23:00:00,2.2067227363586426,2.29,0.97
2025-05-24 03:00:00,2.249436616897583,1.88,0.9
2025-05-24 07:00:00,3.6817452907562256,4.1,2.68
2025-05-24 11:00:00,2.9952950477600098,2.47,1.52
2025-05-24 15:00:00,3.9756698608398438,4.93,2.57
2025-05-24 19:00:00,3.604297399520874,7.62,2.52
2025-05-24 23:00:00,3.788156032562256,5.69,2.29
2025-05-25 03:00:00,3.186770439147949,2.25,1.88
2025-05-25 07:00:00,4.191830158233643,5.2,4.1
2025-05-25 11:00:00,4.016746997833252,4.03,2.47
2025-05-25 15:00:00,4.841082572937012,3.31,4.93
2025-05-25 19:00:00,6.9584245681762695,10.2,7.62
2025-05-25 23:00:00,5.071854114532471,4.69,5.69
2025-05-26 03:00:00,4.44949197769165,4.27,2.25
2025-05-26 07:00:00,7.397772312164307,9.15,5.2
2025-05-26 11:00:00,4.854844570159912,5.68,4.03
2025-05-26 15:00:00,4.389562129974365,1.79,3.31
2025-05-26 19:00:00,11.409777641296387,14.69,10.2
2025-05-26 23:00:00,4.3988938331604,4.69,4.69
2025-05-27 03:00:00,3.168602705001831,3.69,4.27
2025-05-27 07:00:00,4.531254291534424,4.04,9.15
2025-05-27 11:00:00,4.179048538208008,3.12,5.68
2025-05-27 15:00:00,4.102771759033203,4.2,1.79
2025-05-27 19:00:00,6.078828811645508,5.6,14.69
2025-05-27 23:00:00,3.348179340362549,4.69,4.69
2025-05-28 03:00:00,3.25813889503479,5.69,3.69
2025-05-28 07:00:00,4.3256001472473145,4.99,4.04
2025-05-28 11:00:00,3.2272391319274902,2.2,3.12
2025-05-28 15:00:00,3.5885684490203857,2.14,4.2
2025-05-28 19:00:00,4.851583957672119,4.41,5.6
2025-05-28 23:00:00,3.8891561031341553,3.13,4.69
2025-05-29 03:00:00,4.255466938018799,3.59,5.69
2025-05-29 07:00:00,5.435894012451172,5.84,4.99
2025-05-29 11:00:00,3.5765371322631836,3.35,2.2
2025-05-29 15:00:00,4.141083717346191,4.69,2.14
2025-05-29 19:00:00,5.8717427253723145,8.0,4.41
2025-05-29 23:00:00,2.408750534057617,1.64,3.13
2025-05-30 03:00:00,2.6981582641601562,1.25,3.59
2025-05-30 07:00:00,4.028532028198242,2.3,5.84
2025-05-30 11:00:00,3.0779263973236084,2.52,3.35
2025-05-30 15:00:00,4.2826128005981445,4.96,4.69
2025-05-30 19:00:00,4.282790184020996,3.16,8.0
2025-05-30 23:00:00,3.0938942432403564,2.0,1.64
2025-05-31 03:00:00,2.6774792671203613,2.85,1.25
2025-05-31 07:00:00,4.517281532287598,5.86,2.3
2025-05-31 11:00:00,3.1757726669311523,2.4,2.52
2025-05-31 15:00:00,3.822336196899414,2.04,4.96
2025-05-31 19:00:00,6.466747760772705,8.69,3.16
